,0,1,2,3,4
362,Evergy Inc,42.01 - 76.57,"797,603",12.769B,0.50
363,Encompass Health Corp,48.01 - 83.30,"537,191",6.346B,0.96
364,Compass Diversified Holdings,10.78 - 26.37,"391,600",1.082B,N/A
365,Columbus McKinnon Corp,19.20 - 43.09,"69,080",618.096M,1.69
366,Patrick Industries Inc,16.70 - 64.38,"285,814",903.186M,2.20
367,Ducommun Inc,16.27 - 57.84,"162,181",303.269M,1.22
368,ACCO Brands Corp,3.51 - 11.38,"728,016",670.578M,1.96
369,Universal Electronics Inc,29.50 - 60.00,"55,887",555.097M,1.27
370,AMERISAFE Inc,48.02 - 80.65,"157,071",1.206B,N/A
371,Zendesk Inc,50.23 - 94.89,"3,710,882",8.264B,N/A
372,Technogym SpA,5.41 - 12.19,"1,251,440",1.353B,1.60
373,OneSpaWorld Holdings Ltd,2.45 - 17.25,"2,016,494",364.272M,N/A
374,Interpump Group SpA,19.38 - 32.90,"163,417",2.836B,1.20
